dataset,requested_activity,provider,measured_activity,measured_min,measured_max,speedup,speedup_min,speedup_max,latency_ms,seeds
multiarea_mam,0.05,vdha_cudagraph,0.049986909172357,0.0499768829604339,0.049995611167611,2.7862338067871377,2.7689199509836984,2.8120965257475072,10.075456142425535,3
multiarea_mam,0.1,vdha_cudagraph,0.1000604599496343,0.0999586844399244,0.1000702969877476,2.439585089548808,2.4345861434598675,2.4636443514954265,11.507104396820068,3
multiarea_mam,0.2,vdha_cudagraph,0.1999866064942612,0.1999830121918737,0.2000002270085718,1.962862473404775,1.9259369983076922,1.9768219907276277,14.30185604095459,3
uniform,0.005,globalatomic_cudagraph,0.0048828125,0.0038444101810455,0.0078125,1.8938951171997687,1.8894545691451514,1.8999682260991477,11.675087928771973,3
uniform,0.01,globalatomic_cudagraph,0.0099999904632568,0.0099999904632568,0.0099999904632568,1.8866717958697625,1.8858395036076487,1.8877129241943573,11.717328071594238,3
uniform,0.02,globalatomic_cudagraph,0.0199620425701141,0.0199609398841857,0.0199627578258514,1.8906705388956702,1.8887089695470107,1.8906987542381137,11.696991920471191,3
uniform,0.05,globalatomic_cudagraph,0.0496278703212738,0.0496271550655365,0.0497607290744781,1.892181075364602,1.89191145427887,1.8946853127765093,11.688623905181885,3
uniform,0.1,globalatomic_cudagraph,0.123524397611618,0.0594418346881866,0.126501202583313,1.7006807127452075,1.6760198128194923,1.8900895060479255,13.00059175491333,3
uniform,0.2,globalatomic_cudagraph,0.2002804577350616,0.2001886367797851,0.2005078792572021,1.4872430663316287,1.4698526239321812,1.5019589910363969,14.866336345672607,3
uniform,0.005,persistent_spike_block,0.0048828125,0.0038444101810455,0.0078125,8.900566776590434,8.559274702546276,9.88308751601613,2.4859360456466675,3
uniform,0.01,persistent_spike_block,0.0099999904632568,0.0099999904632568,0.0099999904632568,8.066273585367302,8.037887900198877,8.95114253531144,2.7406400442123413,3
uniform,0.02,persistent_spike_block,0.0199620425701141,0.0199609398841857,0.0199627578258514,7.4745193196202155,6.873917820102903,7.504459451391614,2.958783984184265,3
uniform,0.05,persistent_spike_block,0.0496278703212738,0.0496271550655365,0.0497607290744781,5.063171316651749,4.982112591563017,5.1579503064844845,4.366799831390381,3
uniform,0.1,persistent_spike_block,0.123524397611618,0.0594418346881866,0.126501202583313,3.2057238996022437,3.1220919296769716,4.792190083921401,6.897632122039795,3
uniform,0.2,persistent_spike_block,0.2002804577350616,0.2001886367797851,0.2005078792572021,2.356424032372967,2.30975897247898,2.378581551322348,9.382800102233888,3
uniform,0.005,tilespmspv_cudagraph,0.0048828125,0.0038444101810455,0.0078125,3.6973990084364274,3.641789004257542,3.7327584285955044,5.980255842208862,3
uniform,0.01,tilespmspv_cudagraph,0.0099999904632568,0.0099999904632568,0.0099999904632568,3.60849750780105,3.604389204806031,3.675135196320022,6.126303911209106,3
uniform,0.02,tilespmspv_cudagraph,0.0199620425701141,0.0199609398841857,0.0199627578258514,3.567051073171572,3.5655595742799924,3.6304147412752372,6.1999359130859375,3
uniform,0.05,tilespmspv_cudagraph,0.0496278703212738,0.0496271550655365,0.0497607290744781,3.4465777687552075,3.4350453119634508,3.4832976071870774,6.417088031768799,3
uniform,0.1,tilespmspv_cudagraph,0.123524397611618,0.0594418346881866,0.126501202583313,2.948622364046793,2.844399113790903,3.409517115530104,7.49836802482605,3
uniform,0.2,tilespmspv_cudagraph,0.2002804577350616,0.2001886367797851,0.2005078792572021,2.603448084184937,2.502114504086656,2.6773565442536285,8.492527961730957,3
uniform,0.005,vdha_cudagraph,0.0048828125,0.0038444101810455,0.0078125,2.907576622005417,2.8843023250212556,3.1471958191001486,7.609856128692627,3
uniform,0.01,vdha_cudagraph,0.0099999904632568,0.0099999904632568,0.0099999904632568,2.765048924859997,2.7615049901452724,2.920283228606068,7.996560096740723,3
uniform,0.02,vdha_cudagraph,0.0199620425701141,0.0199609398841857,0.0199627578258514,2.8446084414071398,2.8432436156795977,2.93099356184362,7.77452802658081,3
uniform,0.05,vdha_cudagraph,0.0496278703212738,0.0496271550655365,0.0497607290744781,2.8251731810289256,2.811080081396671,2.87482074890239,7.8285441398620605,3
uniform,0.1,vdha_cudagraph,0.123524397611618,0.0594418346881866,0.126501202583313,2.06586585671509,2.0522223000701385,2.4669123037047487,10.703455924987791,3
uniform,0.2,vdha_cudagraph,0.2002804577350616,0.2001886367797851,0.2005078792572021,1.7274987386815719,1.6874770861403874,1.7304676551105633,12.798768043518066,3
